time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates
268,1.0,0.66211884,268,1.0,64,4,-0.6321054697036743,0.001,0.00016222293197643012,167
272,1.0,0.66350069,272,1.0,64,4,-0.6460341215133667,0.001,0.00013417161244433373,171
276,1.0,0.6605471500000002,276,1.0,64,4,-0.6321767568588257,0.001,0.00013689399929717183,175
280,1.0,0.6578546800000001,280,1.0,64,4,-0.6429262161254883,0.001,0.0001323373435297981,179
284,1.0,0.6535387699999999,284,1.0,63,4,-0.6455000638961792,0.001,0.00013073875743430108,183
288,1.0,0.6595182999999999,288,1.0,63,4,-0.6393941640853882,0.001,0.00011236198770347983,187
292,1.0,0.65889836,292,1.0,63,4,-0.6291215419769287,0.001,0.00014448507863562554,191
296,1.0,0.64703732,296,1.0,63,4,-0.6334223747253418,0.001,0.00013573301839642227,195
300,1.0,0.63430169,300,1.0,62,4,-0.6208676099777222,0.001,0.00013103258970659226,199
304,1.0,0.63346881,304,1.0,62,4,-0.6259269118309021,0.001,0.00013328071509022266,203
308,1.0,0.62185533,308,1.0,62,4,-0.6192468404769897,0.001,0.00012360788241494447,207
312,1.0,0.62372834,312,1.0,62,5,-0.6278170943260193,0.001,0.0001288049534196034,211
316,1.0,0.61817632,316,1.0,62,5,-0.6184277534484863,0.001,0.00012377330858726054,215
320,1.0,0.6190415600000001,320,1.0,61,5,-0.6262741088867188,0.001,0.00012132601113989949,219
324,1.0,0.6131592800000001,324,1.0,61,5,-0.6271111369132996,0.001,0.00013107094855513424,223
328,1.0,0.61696862,328,1.0,61,5,-0.6143254637718201,0.001,0.0001242233847733587,227
332,1.0,0.62591187,332,1.0,61,5,-0.6234257221221924,0.001,0.00010672342614270747,231
336,1.0,0.6211434,336,1.0,61,5,-0.6370925307273865,0.001,0.0001167670707218349,235
340,1.0,0.6182398,340,1.0,60,5,-0.6263805031776428,0.001,0.00011753756552934647,239
344,1.0,0.61478057,344,1.0,60,5,-0.6311191916465759,0.001,0.00012766641157213598,243
348,1.0,0.6215018600000001,348,1.0,60,5,-0.6269887685775757,0.001,0.00011001544044120237,247
352,1.0,0.6245658999999999,352,1.0,60,5,-0.639855682849884,0.001,0.00011682465265039355,251
356,1.0,0.6145679099999999,356,1.0,60,5,-0.6240411996841431,0.001,9.624863741919398e-05,255
360,1.0,0.6072162600000001,360,1.0,60,5,-0.6416673064231873,0.001,0.00010652816126821563,259
364,1.0,0.60080451,364,1.0,59,6,-0.6241713762283325,0.001,0.00010973979806294665,263
368,1.0,0.5949622899999999,368,1.0,59,6,-0.6112440228462219,0.001,0.00011971454659942538,267
372,1.0,0.59346834,372,1.0,59,6,-0.6413421630859375,0.001,0.00010917010513367131,271
376,1.0,0.59047598,376,1.0,59,6,-0.6367121934890747,0.001,0.00011167669435963035,275
380,1.0,0.5909000200000001,380,1.0,59,6,-0.6443929672241211,0.001,0.00010443425708217546,279
384,1.0,0.5980363100000001,384,1.0,59,6,-0.6259782314300537,0.001,0.0001069141726475209,283
388,1.0,0.5987027,388,1.0,58,6,-0.6356409192085266,0.001,9.052691893884912e-05,287
392,1.0,0.59409405,392,1.0,58,6,-0.6296896934509277,0.001,9.198820771416649e-05,291
396,1.0,0.6036074100000001,396,1.0,58,6,-0.623336911201477,0.001,9.42354672588408e-05,295
400,1.0,0.60827831,400,1.0,58,6,-0.5923937559127808,0.001,0.00010934638703474775,299
404,1.0,0.61757594,404,1.0,58,6,-0.632396936416626,0.001,9.44631829042919e-05,303
408,1.0,0.62391179,408,1.0,58,7,-0.6255523562431335,0.001,9.320836397819221e-05,307
412,1.0,0.6230674099999999,412,1.0,58,7,-0.634079098701477,0.001,0.00010909255070146173,311
416,1.0,0.63042626,416,1.0,58,7,-0.62456876039505,0.001,9.449687058804557e-05,315
420,1.0,0.6293909999999999,420,1.0,58,7,-0.6210063099861145,0.001,9.390652849106118e-05,319
424,1.0,0.63200587,424,1.0,57,7,-0.635189414024353,0.001,9.382678399560973e-05,323
428,1.0,0.63412188,428,1.0,57,7,-0.6187013387680054,0.001,9.775601211003959e-05,327
432,1.0,0.62480454,432,1.0,57,7,-0.6326625943183899,0.001,8.904624701244757e-05,331
436,1.0,0.63587852,436,1.0,57,7,-0.6299771666526794,0.001,8.161736332112923e-05,335
440,1.0,0.63892462,440,1.0,57,7,-0.6153507232666016,0.001,9.374735236633569e-05,339
444,1.0,0.6462391099999999,444,1.0,57,7,-0.633980393409729,0.001,8.032842742977664e-05,343
448,1.0,0.63734959,448,1.0,57,7,-0.6321055889129639,0.001,8.099505794234574e-05,347
452,1.0,0.6398243600000001,452,1.0,57,7,-0.630513072013855,0.001,6.765426223864779e-05,351
456,1.0,0.6533232,456,1.0,57,7,-0.6189566254615784,0.001,7.743428432149813e-05,355
460,1.0,0.6537913699999998,460,1.0,56,8,-0.6583757996559143,0.001,8.047571463976055e-05,359
464,1.0,0.65962188,464,1.0,56,8,-0.6462949514389038,0.001,7.646175799891353e-05,363
468,1.0,0.66156816,468,1.0,56,8,-0.6312820315361023,0.001,6.270388257689774e-05,367
472,1.0,0.66033048,472,1.0,56,8,-0.631995439529419,0.001,6.710240268148482e-05,371
476,1.0,0.6650756699999999,476,1.0,56,8,-0.6398260593414307,0.001,6.699634832330048e-05,375
480,1.0,0.6628198099999999,480,1.0,56,8,-0.6125008463859558,0.001,5.685110227204859e-05,379
484,1.0,0.66201441,484,1.0,56,8,-0.6516837477684021,0.001,4.938150232192129e-05,383
488,1.0,0.6574482300000001,488,1.0,56,8,-0.6245301961898804,0.001,5.275671719573438e-05,387
492,1.0,0.6592263000000002,492,1.0,56,8,-0.6450001001358032,0.001,4.735191032523289e-05,391
496,1.0,0.6560738500000001,496,1.0,56,8,-0.6401329040527344,0.001,4.545761476038024e-05,395
500,1.0,0.66100167,500,1.0,56,8,-0.6448797583580017,0.001,4.363753032521345e-05,399
504,1.0,0.64985299,504,1.0,56,8,-0.6489672660827637,0.001,3.81839090550784e-05,403
508,1.0,0.6568260000000001,508,1.0,56,9,-0.6394996643066406,0.001,4.052000440424308e-05,407
512,1.0,0.65698566,512,1.0,56,9,-0.6363481283187866,0.001,3.198204649379477e-05,411
516,1.0,0.6514909799999999,516,1.0,55,9,-0.6402393579483032,0.001,2.824243529175874e-05,415
520,1.0,0.6581800200000001,520,1.0,55,9,-0.645871639251709,0.001,2.6728732336778194e-05,419
524,1.0,0.65700506,524,1.0,55,9,-0.6430870890617371,0.001,2.927864989032969e-05,423
528,1.0,0.6550049,528,1.0,55,9,-0.616165280342102,0.001,2.6934281777357683e-05,427
532,1.0,0.66447548,532,1.0,55,9,-0.6285576820373535,0.001,2.7971440431429073e-05,431
536,1.0,0.6592830399999999,536,1.0,55,9,-0.6554617881774902,0.001,2.1690446374122985e-05,435
540,1.0,0.6591668799999999,540,1.0,55,9,-0.6190513372421265,0.001,2.2922653442947194e-05,439
544,1.0,0.65517494,544,1.0,55,9,-0.6647695302963257,0.001,1.984844493563287e-05,443
548,1.0,0.66544578,548,1.0,55,9,-0.6545068025588989,0.001,1.8610844563227147e-05,447
552,1.0,0.6680165600000001,552,1.0,55,10,-0.6264505386352539,0.001,2.251401929243002e-05,451
556,1.0,0.6643180500000001,556,1.0,54,10,-0.6289547085762024,0.001,2.1039655621279962e-05,455
560,1.0,0.67160343,560,1.0,54,10,-0.6374390125274658,0.001,1.9603770851972513e-05,459
564,1.0,0.6736385200000001,564,1.0,54,10,-0.6233534812927246,0.001,1.597968366695568e-05,463
568,1.0,0.6696249499999999,568,1.0,54,10,-0.6583910584449768,0.001,1.3475784726324491e-05,467
572,1.0,0.6722257399999999,572,1.0,54,10,-0.6316952109336853,0.001,1.8674832972465083e-05,471
